category,name,url,data,latency,access,signal_type
Corporate filings,SEC Developer Resources,https://www.sec.gov/about/developer-resources,"Submissions, filings, XBRL, company facts",seconds-minutes,Free/no key,hard evidence
Corporate filings,SEC EDGAR APIs,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,Company submissions and XBRL JSON,seconds-minutes,Free/no key; identify User-Agent,hard evidence
Corporate filings,SEC Markets Data Library,https://www.sec.gov/data-research/sec-markets-data,"Insiders, funds and market datasets",daily-quarterly,Free,hard evidence
Institutional holdings,SEC Form 13F datasets,https://www.sec.gov/data-research/sec-markets-data/form-13f-data-sets,Institutional holdings,quarterly,Free,capital allocation
Fund holdings,SEC Form N-PORT datasets,https://www.sec.gov/data-research/sec-markets-data/form-n-port-data-sets,Registered fund portfolios,monthly/public cadence varies,Free,capital allocation
Private funding,SEC Form D,https://www.sec.gov/resources-small-businesses/capital-raising-building-blocks/what-form-d,Exempt private offerings,event-driven,Free via EDGAR,capital allocation
Market plumbing,SEC fails-to-deliver,https://www.sec.gov/data-research/sec-markets-data/fails-deliver-data,Fails-to-deliver raw data,semi-monthly,Free,market state
Prediction market,Polymarket Gamma API,https://gamma-api.polymarket.com,Market discovery/metadata,near-real-time,Public reads,belief consensus
Prediction market,Polymarket CLOB API,https://clob.polymarket.com,Prices/orderbooks/trades,real-time,Public reads; trading auth differs,belief consensus
Prediction market,Polymarket Docs,https://docs.polymarket.com,API/WebSocket docs,n/a,Free,belief consensus
Prediction market,Kalshi Docs,https://docs.kalshi.com,Markets/trades/orderbook/WebSocket,real-time,Read access varies,belief consensus
Forecasting,Metaculus API,https://www.metaculus.com/api/,Forecast questions/community probabilities,variable,Auth/terms apply,belief consensus
Forecasting,Manifold Docs/API,https://docs.manifold.markets/,Prediction market data,real-time,Many public GETs; terms apply,belief consensus
Research,OpenAlex API,https://help.openalex.org/api/,Works/authors/institutions/topics/funders/citations,daily-ish,Free basic; key increases budget,research velocity
Research,Semantic Scholar API,https://api.semanticscholar.org/api-docs,Papers/citations/authors,daily-ish,Free API,research velocity
Research,Crossref REST API,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,Scholarly metadata/DOIs/funders,continuous,Free/public,research metadata
Preprints,bioRxiv/medRxiv API,https://api.biorxiv.org/,Biology/medical preprints,daily,Free/public,research velocity
Clinical,ClinicalTrials.gov API,https://clinicaltrials.gov/data-api/api,Trials/sponsors/status/outcomes,daily weekdays,Free/public,physical validation
Regulatory biology,openFDA APIs,https://open.fda.gov/apis/,Drug/device/event/recall datasets,varies,Free; key raises limits,regulatory state
Models/code,Hugging Face Hub API,https://huggingface.co/docs/hub/api,Models/datasets/spaces/activity,near-real-time,Public + token options,implementation evidence
