date,frontier_actor,counterparty_or_target,event_type,source_url,observable,bottleneck_interpretation,signal_strength
2026-01-09,OpenAI,SB Energy,Strategic investment + infrastructure,https://openai.com/index/stargate-sb-energy-partnership/,$1B combined investment; 1.2 GW data-center lease,Power/sites/long-duration infrastructure are binding,High
2026-01-14,OpenAI,Cerebras,Compute capacity partnership,https://openai.com/index/cerebras-partnership/,750 MW low-latency compute through 2028,Latency-sensitive inference and accelerator diversification matter,High
2026-02-27,OpenAI,Amazon/NVIDIA/SoftBank,Financing + strategic compute,https://openai.com/index/scaling-ai-for-everyone/,$110B new investment announced; strategic compute relationships,Capital intensity and diversified compute remain strategic,High
2026-03-09,OpenAI,Promptfoo,Acquisition,https://openai.com/index/openai-to-acquire-promptfoo/,Agentic security testing/evaluation,Agent security/evaluation becomes a deployment constraint,Medium
2026-03-19,OpenAI,Astral,Acquisition,https://openai.com/index/openai-to-acquire-astral/,Developer tooling around uv/Ruff/ty joins Codex,Execution/toolchain bottlenecks around coding agents,Medium
2026-04-29,OpenAI,Stargate,Infrastructure expansion,https://openai.com/index/building-the-compute-infrastructure-for-the-intelligence-age/,>10 GW secured U.S. AI infrastructure milestone stated,Power/land/interconnection/data-center buildout are first-class constraints,High
2026-06-11,OpenAI,Ona,Acquisition,https://openai.com/index/openai-to-acquire-ona/,Secure cloud execution/orchestration for long-running Codex agents,Persistent agent execution matters as models become agentic,Medium
2026-06-24,OpenAI,Broadcom,Custom inference silicon,https://openai.com/index/openai-broadcom-jalapeno-inference-chip/,Jalapeño inference chip/platform,Frontier labs actively reduce dependence on generic accelerator economics,Very high
2026,OpenAI,Deployment Company,Majority-controlled deployment vehicle,https://openai.com/index/openai-launches-the-deployment-company/,Initial investment >$4B to scale/acquire deployment firms,Deployment becomes a bottleneck after intelligence,High
2026-04-06,Anthropic,Google/Broadcom,Compute capacity,https://www.anthropic.com/news/google-broadcom-partnership-compute,Multiple GW TPU capacity starting 2027; multi-platform stack,Frontier labs deliberately diversify accelerator architectures,Very high
2026,Anthropic,Micron/Samsung/SK hynix,Strategic financing/supplier alignment,https://www.anthropic.com/news/series-h,Memory suppliers participate alongside infrastructure commitments,Memory supply is strategic enough for direct alignment,High
2026-04-10,Anthropic,CoreWeave,Multi-year compute agreement,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Announces-Multi-Year-Agreement-With-Anthropic/,Multi-year capacity agreement,Compute remains binding despite architecture diversification,High
2026-02-02,xAI,SpaceX,Acquisition/combination,https://x.ai/news/xai-joins-spacex,SpaceX acquired xAI,AI merges with communications/physical infrastructure,Medium
2026-01-06,xAI,NVIDIA/Cisco + investors,Series E,https://x.ai/news/series-e,$20B Series E; strategic NVIDIA/Cisco; >1M H100-equivalent compute claimed,Compute/network capacity remains central to frontier scaling,High
2025-06-12,Meta,Scale AI,Strategic investment,https://scale.com/blog/scale-ai-announces-next-phase-of-company-evolution,Scale valued >$29B; Alexandr Wang joined Meta,Data/evaluation/frontier research leadership treated as strategic,High
2026-09-10,Normal Computing,CN-series thermodynamic compute,Technical benchmark/tapeout watch,https://normalcomputing.com/blog,Prototype/chip work targets inference efficiency and memory-bandwidth limits,Potential accelerator digger; require external scale proof before kill,Watch
2026-09-10,Extropic,Probabilistic/thermodynamic compute,Technical milestone watch,https://extropic.ai/writing,Experimental probabilistic compute roadmap,"Potential energy/accelerator digger; early evidence, not kill trigger",Watch
2026-02-27,OpenAI,Amazon/AWS Trainium,Expanded strategic compute agreement,https://openai.com/index/amazon-partnership/,OpenAI says expanded existing $38B agreement by $100B over 8 years and committed to ~2 GW Trainium capacity,Purpose-built silicon diversification is a revealed bet that workload-specific compute and memory bandwidth remain critical,Very high
2025-10-06,OpenAI,AMD,Multi-generation GPU capacity,https://openai.com/index/openai-amd-strategic-partnership/,"Agreement to deploy 6 GW of AMD GPUs across multiple generations, beginning with MI450",OpenAI is intentionally building a multi-vendor accelerator portfolio rather than accepting NVIDIA as the only route,Very high
2026-09-09,OpenAI,Samsung/SK Hynix,Next-generation chip + memory cooperation,https://www.reuters.com/world/asia-pacific/openai-says-working-with-samsung-next-generation-chips-deepening-cooperation-2026-09-09/,OpenAI described next-generation chip cooperation with Samsung; Samsung and SK Hynix have memory-supply LOIs for Stargate,Frontier model knowledge is being pushed directly into silicon while memory supply is secured in parallel,Very high
2026-05-06,Anthropic,SpaceX,Compute-capacity partnership,https://www.anthropic.com/news/higher-limits-spacex,Anthropic says SpaceX partnership substantially increases compute capacity and enabled higher Claude limits,User-facing product limits still trace directly to physical compute capacity,High
2026-09-09,Google,Finland/Fortum,AI infrastructure + nuclear power,https://www.reuters.com/business/media-telecom/google-invest-15-billion-ai-infrastructure-finland-2026-09-09/,€13B AI-infrastructure program plus 22-year nuclear-power agreement with Fortum,"Long-duration power, grid and geography remain constraints worth locking years ahead",Very high
